name	parent_name	type	size
.idea	08 lesson8	dir	3591
venv	08 lesson8	dir	13403208
Homework.py	08 lesson8	file	3080
new_table.csv	08 lesson8	file	179
new_users.json	08 lesson8	file	442
new_users.pickle	08 lesson8	file	220
output.json	08 lesson8	file	172
output.pickle	08 lesson8	file	146
result.csv	08 lesson8	file	31658
result.json	08 lesson8	file	125713
result.pickle	08 lesson8	file	41305
Source_for_task1.txt	08 lesson8	file	236
Task01.py	08 lesson8	file	1023
Task02.py	08 lesson8	file	1939
Task03.py	08 lesson8	file	774
Task04.py	08 lesson8	file	1417
Task05.py	08 lesson8	file	783
Task06.py	08 lesson8	file	1068
Task07.py	08 lesson8	file	654
users.csv	08 lesson8	file	50
users.json	08 lesson8	file	130
users.pickle	08 lesson8	file	92
inspectionProfiles	.idea	dir	174
.gitignore	.idea	file	50
08 lesson8.iml	.idea	file	361
encodings.xml	.idea	file	201
misc.xml	.idea	file	202
modules.xml	.idea	file	279
workspace.xml	.idea	file	2324
profiles_settings.xml	inspectionProfiles	file	174
Lib	venv	dir	11992387
Scripts	venv	dir	1410373
.gitignore	venv	file	42
pyvenv.cfg	venv	file	406
site-packages	Lib	dir	11992387
pip	site-packages	dir	6847400
pip-22.3.1.dist-info	site-packages	dir	76670
pkg_resources	site-packages	dir	1862733
setuptools	site-packages	dir	3027307
setuptools-65.5.1.dist-info	site-packages	dir	45895
wheel	site-packages	dir	95910
wheel-0.38.4.dist-info	site-packages	dir	6262
_distutils_hack	site-packages	dir	17343
__pycache__	site-packages	dir	6928
distutils-precedence.pth	site-packages	file	151
pip-22.3.1.virtualenv	site-packages	file	0
setuptools-65.5.1.virtualenv	site-packages	file	0
wheel-0.38.4.virtualenv	site-packages	file	0
_virtualenv.pth	site-packages	file	18
_virtualenv.py	site-packages	file	5770
_internal	pip	dir	1035611
_vendor	pip	dir	5808504
py.typed	pip	file	286
__init__.py	pip	file	357
__main__.py	pip	file	1198
__pip-runner__.py	pip	file	1444
cli	_internal	dir	87806
commands	_internal	dir	119848
distributions	_internal	dir	10466
index	_internal	dir	60686
locations	_internal	dir	34294
metadata	_internal	dir	59552
models	_internal	dir	45927
network	_internal	dir	52426
operations	_internal	dir	87624
req	_internal	dir	99567
resolution	_internal	dir	111906
utils	_internal	dir	118977
vcs	_internal	dir	62007
build_env.py	_internal	file	10234
cache.py	_internal	file	10734
configuration.py	_internal	file	13529
exceptions.py	_internal	file	20942
main.py	_internal	file	340
pyproject.py	_internal	file	7074
self_outdated_check.py	_internal	file	8020
wheel_builder.py	_internal	file	13079
__init__.py	_internal	file	573
autocompletion.py	cli	file	6676
base_command.py	cli	file	7842
cmdoptions.py	cli	file	29381
command_context.py	cli	file	774
main.py	cli	file	2472
main_parser.py	cli	file	4338
parser.py	cli	file	10817
progress_bars.py	cli	file	1968
req_command.py	cli	file	18172
spinners.py	cli	file	5118
status_codes.py	cli	file	116
__init__.py	cli	file	132
cache.py	commands	file	7582
check.py	commands	file	1685
completion.py	commands	file	4129
configuration.py	commands	file	9815
debug.py	commands	file	6573
download.py	commands	file	5289
freeze.py	commands	file	2951
hash.py	commands	file	1703
help.py	commands	file	1132
index.py	commands	file	4762
inspect.py	commands	file	3374
install.py	commands	file	31726
